iter	RMSE
146	5.081834534
147	5.079657268
148	5.077187246
149	5.074003667
150	5.072835096
151	5.067045431
152	5.061578435
153	5.05863204
154	5.05479688
155	5.048153233
156	5.045313049
157	5.042230516
158	5.038498101
159	5.032336438
160	5.029679126
161	5.026819043
162	5.021416658
163	5.018706366
164	5.01394586
165	5.010333042
166	5.005389664
167	5.00041076
168	4.996900592
169	4.992580557
170	4.988742619
171	4.984097912
172	4.978584406
173	4.973490184
174	4.97093578
175	4.967821299
176	4.964753547
177	4.962262959
178	4.955930256
179	4.949848244
180	4.945258014
181	4.942933864
182	4.937884869
183	4.931062972
184	4.928388978
185	4.925030993
186	4.923295803
187	4.919934634
188	4.916128719
189	4.913285352
190	4.908206644
191	4.903812056
192	4.899913004
193	4.896089493
194	4.892924466
195	4.891799565
196	4.888834765
197	4.887493648
198	4.882905336
199	4.879590124
200	4.877427011
201	4.875870604
202	4.873319843
203	4.869389398
204	4.866825116
205	4.862331747
206	4.859480805
207	4.854095267
208	4.852865028
209	4.847885292
210	4.84551762
211	4.842176853
212	4.839969414
213	4.835362081
214	4.835177361
215	4.83227653
216	4.829139988
217	4.826095722
218	4.823649384
219	4.819697478
220	4.817829555
221	4.815797441
222	4.814482879
223	4.814155021
224	4.812038714
225	4.81111867
226	4.808641619
227	4.805559471
228	4.803681957
229	4.802297337
230	4.79948067
231	4.798981481
232	4.79446905
233	4.789867558
234	4.786535584
235	4.783131932
236	4.780253091
237	4.77377287
238	4.771797302
239	4.768108898
240	4.763594687
241	4.762445569
242	4.759290798
243	4.757782096
244	4.753424922
245	4.751670814
246	4.750250615
247	4.746688346
248	4.741423614
249	4.740656869
250	4.73942588
251	4.732197121
252	4.729667629
253	4.727340374
254	4.725986513
255	4.723475966
256	4.720761944
257	4.714786814
258	4.711296263
259	4.710049052
260	4.706672552
261	4.704050035
262	4.702053703
263	4.700879769
264	4.695400782
265	4.693286607
266	4.688979993
267	4.685792099
268	4.684591193
269	4.683436875
270	4.680555069
271	4.679804815
272	4.678231052
273	4.674684947
274	4.671245613
275	4.67016916
276	4.667555878
277	4.667038347
278	4.664114486
279	4.660783533
280	4.660087332
281	4.657891108
282	4.656425848
283	4.652546496
284	4.647517861
285	4.641765477
286	4.638945767
287	4.632669227
288	4.631453118
289	4.629840917
290	4.627650073
291	4.624646528
292	4.61818251
293	4.616700301
294	4.615041764
295	4.608946111
296	4.605474033
297	4.601371785
298	4.595020169
299	4.590031817
300	4.586380322
301	4.585466116
302	4.581447085
303	4.577110847
304	4.575100657
305	4.569073279
306	4.566869009
307	4.563266917
308	4.561516852
309	4.556554881
310	4.552899258
311	4.549730467
312	4.544540247
313	4.53824258
314	4.534241646
315	4.533613828
316	4.530695884
317	4.529326716
318	4.52277005
319	4.52096316
320	4.514967121
321	4.51442626
322	4.510494095
323	4.507848581
324	4.502295545
325	4.497994373
326	4.494002646
327	4.492991348
328	4.492715233
329	4.489920077
330	4.485272444
331	4.48158206
332	4.480687693
333	4.476224677
334	4.46981268
335	4.468300366
336	4.467678659
337	4.465337932
338	4.461970681
339	4.458863201
340	4.45564769
341	4.452973766
342	4.448284293
343	4.446717458
344	4.44116378
345	4.437762628
346	4.43146181
347	4.425926057
348	4.423073354
349	4.421147167
350	4.418343647
351	4.412816957
352	4.407697525
353	4.404943474
354	4.398922586
355	4.396182417
356	4.390434036
357	4.38635899
358	4.383978186
359	4.378158369
360	4.373067341
361	4.370411956
362	4.369050301
363	4.368268141
364	4.366174946
365	4.363082602
366	4.360994532
367	4.356554055
368	4.355850873
369	4.353619839
370	4.347783473
371	4.342893349
372	4.337478199
373	4.336566384
374	4.333141755
375	4.327130678
376	4.326944712
377	4.326746841
378	4.326456207
379	4.32367771
380	4.321707328
381	4.321314429
382	4.317558668
383	4.316052015
384	4.313262235
385	4.310565443
386	4.307668092
387	4.305796829
388	4.300361292
389	4.296351309
390	4.294999219
391	4.290710455
392	4.287363036
393	4.282823217
394	4.279499875
395	4.27502326
396	4.272466231
397	4.270580763
398	4.269810314
399	4.264750517
400	4.260520606
401	4.257561252
402	4.254507044
403	4.250755176
404	4.250605361
405	4.245466294
406	4.244701406
407	4.240302314
408	4.237328533
409	4.234578288
410	4.232086734
411	4.228278079
412	4.223730313
413	4.22278645
414	4.217517286
415	4.214840246
416	4.212340568
417	4.207160973
418	4.204095109
419	4.203649065
420	4.199450095
421	4.198307019
422	4.195771466
423	4.190914808
424	4.18888753
425	4.182957587
426	4.178580484
427	4.177443841
428	4.175927838
429	4.171117322
430	4.166767642
431	4.162348782
432	4.157742676
433	4.154662652
434	4.152088324
435	4.151622575
436	4.147829165
437	4.145986572
438	4.141615434
439	4.138911612
440	4.13391196
441	4.130314601
442	4.12745099
443	4.123684304
444	4.122465704
445	4.122122229
446	4.119612948
447	4.117993074
448	4.114834021
449	4.113473737
450	4.109818664
451	4.108028186
452	4.103777228
453	4.102277408
454	4.098106975
455	4.097646426
456	4.096352879
457	4.092257066
458	4.090222142
459	4.087585721
460	4.086912067
461	4.085075724
462	4.081030194
463	4.07572919
464	4.07467359
465	4.074119718
466	4.073891946
467	4.071091607
468	4.070622473
469	4.068221813
470	4.063545573
471	4.063398421
472	4.062298817
473	4.061230935
474	4.057866303
475	4.056194138
476	4.052188818
477	4.047934112
478	4.043396325
479	4.04232254
480	4.040110535
481	4.036644586
482	4.03520932
483	4.032748372
484	4.030290107
485	4.026502534
486	4.022920142
487	4.02146387
488	4.017788526
489	4.016073665
490	4.013119254
491	4.009819047
492	4.008787097
493	4.007680684
494	4.004691903
495	4.000667804
496	4.000426428
497	3.998366047
498	3.996058476
499	3.994999639
500	3.99341465
501	3.993055941
502	3.992726523
503	3.991548722
504	3.989569701
505	3.987608113
506	3.987071679
507	3.984543071
508	3.98270909
509	3.981480441
510	3.980676111
511	3.977048047
512	3.97610162
513	3.974869494
514	3.974719212
515	3.972537893
516	3.96837203
517	3.964411302
518	3.963213397
519	3.962262688
520	3.957256683
521	3.956471082
522	3.956367974
523	3.955239067
524	3.95402438
525	3.950280467
526	3.947715996
527	3.94744636
528	3.945946151
529	3.944699229
530	3.93991174
531	3.938134894
532	3.933802327
533	3.932481363
534	3.928342124
535	3.924771602
536	3.923048352
537	3.92109432
538	3.920033061
539	3.916558693
540	3.914700561
541	3.91269485
542	3.909500134
543	3.909346746
544	3.90725833
545	3.904512235
546	3.90017139
547	3.89785555
548	3.896828015
549	3.895539771
550	3.89384044
551	3.892460198
552	3.88932274
553	3.887649214
554	3.886246189
555	3.883569281
556	3.88055981
557	3.879705585
558	3.876850493
559	3.874463296
560	3.870643859
561	3.868223631
562	3.865723029
563	3.861696831
564	3.859050746
565	3.857238858
566	3.853477049
567	3.849327437
568	3.846164763
569	3.842291436
570	3.838776232
571	3.834824085
572	3.834107823
573	3.832177818
574	3.829694458
575	3.827165332
576	3.826394384
577	3.822338993
578	3.819358155
579	3.815450321
580	3.813110583
581	3.811069091
582	3.807961361
583	3.804723944
584	3.802003564
585	3.800261323
586	3.798351087
587	3.794422125
588	3.791781162
589	3.787554527
590	3.784976005
591	3.784817277
592	3.781381806
593	3.778900538
594	3.777497376
595	3.777375473
596	3.774167168
597	3.772430306
598	3.772293686
599	3.768681768
600	3.767235736
601	3.766053679
602	3.765689636
603	3.761494615
604	3.761187099
605	3.757568507
606	3.754230858
607	3.7516737
608	3.750309763
609	3.745726901
610	3.744414071
611	3.740928964
612	3.737756183
613	3.734946578
614	3.730920934
615	3.728728626
616	3.727045957
617	3.724012627
618	3.721694928
619	3.718819415
620	3.718228732
621	3.716985303
622	3.713946986
623	3.711295497
624	3.708645006
625	3.707443784
626	3.704444267
627	3.701558609
628	3.697914418
629	3.696926505
630	3.6942019
631	3.692799447
632	3.690801523
633	3.690687153
634	3.689000394
635	3.688808048
636	3.687171644
637	3.686074837
638	3.684482867
639	3.684366794
640	3.680466573
641	3.678266196
642	3.676543915
643	3.674217776
644	3.672213212
645	3.66921244
646	3.667618751
647	3.664905818
648	3.661679749
649	3.660575756
650	3.657804109
651	3.656159172
652	3.654807985
653	3.652688005
654	3.651227198
655	3.649955411
656	3.647797721
657	3.647081864
658	3.646371949
659	3.64510811
660	3.644859871
661	3.642810084
662	3.63970562
663	3.636407835
664	3.634928393
665	3.631769709
666	3.630879037
667	3.628550171
668	3.627109509
669	3.623501585
670	3.621353075
671	3.619784344
672	3.618097673
673	3.616684791
674	3.615127733
675	3.614744049
676	3.611305564
677	3.609863049
678	3.606191711
679	3.604176147
680	3.601624803
681	3.599888311
682	3.597896402
683	3.595552254
684	3.594288576
685	3.591178536
686	3.58849695
687	3.586437325
688	3.585511339
689	3.582264015
690	3.580569757
691	3.580354934
692	3.578249072
693	3.575657752
694	3.574703958
695	3.574492222
696	3.57348518
697	3.572187282
698	3.568289972
699	3.56558138
700	3.563022454
701	3.561980901
702	3.56113239
703	3.559491347
704	3.556688406
705	3.555714192
706	3.551821162
707	3.550413132
708	3.548849618
709	3.546463177
710	3.544484718
711	3.544374384
712	3.542320888
713	3.541733151
714	3.539488625
715	3.538193483
716	3.534449228
717	3.531793729
718	3.5286025
719	3.527007212
720	3.524023919
721	3.522106175
722	3.520746677
723	3.517881101
724	3.516305466
725	3.514379733
726	3.513321083
727	3.51096653
728	3.508892472
729	3.507450979
730	3.505705096
731	3.503732286
732	3.501010643
733	3.49809527
734	3.49731389
735	3.496195634
736	3.49609907
737	3.495319695
738	3.494124607
739	3.493113538
740	3.490734646
741	3.489835609
742	3.487172391
743	3.485609334
744	3.48160841
745	3.479629892
746	3.478669911
747	3.476745176
748	3.475277631
749	3.474356239
750	3.471742024
751	3.470339719
752	3.468407643
753	3.468254697
754	3.467374811
755	3.464721585
756	3.464249501
757	3.462759126
758	3.461037046
759	3.458546945
760	3.457555098
761	3.456666742
762	3.454793644
763	3.453948032
764	3.453503452
765	3.452185102
766	3.452111044
767	3.451397895
768	3.448642806
769	3.444764629
770	3.443340528
771	3.440880053
772	3.439853955
773	3.436743006
774	3.435611616
775	3.434452452
776	3.432006935
777	3.430241873
778	3.426611141
779	3.424828221
780	3.421675151
781	3.419539092
782	3.41747627
783	3.41519477
784	3.414705731
785	3.414599474
786	3.411717192
787	3.409468577
788	3.407490088
789	3.406383692
790	3.404107078
791	3.402142914
792	3.401551587
793	3.401465524
794	3.400083227
795	3.398184765
796	3.394882307
797	3.392482434
798	3.391358311
799	3.389044678
800	3.385883746
801	3.384200508
802	3.382296443
803	3.381646529
804	3.378741196
805	3.378058594
806	3.377763294
807	3.376311555
808	3.374938718
809	3.374091775
810	3.374014765
811	3.373312557
812	3.371161794
813	3.368932181
814	3.365995491
815	3.364782577
816	3.361270235
817	3.358783619
818	3.356337138
819	3.35604297
820	3.355964981
821	3.353291157
822	3.350224773
823	3.348700958
824	3.345723789
825	3.342897113
826	3.339508604
827	3.336952614
828	3.334478896
829	3.33345743
830	3.332814937
831	3.33220587
832	3.330789661
833	3.328336584
834	3.32755806
835	3.327493472
836	3.325173671
837	3.324221234
838	3.322156551
839	3.319895504
840	3.316898085
841	3.316040004
842	3.313950342
843	3.310870289
844	3.309753173
845	3.309681859
846	3.307484339
847	3.307124111
848	3.304523624
849	3.30244585
850	3.30015864
851	3.29904764
852	3.295808881
853	3.293552014
854	3.289933705
855	3.288050884
856	3.287421063
857	3.285877467
858	3.284541825
859	3.281988838
860	3.281137286
861	3.278093978
862	3.277003905
863	3.275849492
864	3.275743355
865	3.275025321
866	3.274106267
867	3.272296406
868	3.271710585
869	3.269883842
870	3.266003785
871	3.264582626
872	3.264313412
873	3.261949256
874	3.261845853
875	3.26138213
876	3.260616708
877	3.257809199
878	3.257696794
879	3.256430653
880	3.255464852
881	3.254710257
882	3.253291633
883	3.251299453
884	3.24868926
885	3.246080444
886	3.245349533
887	3.242135259
888	3.241820434
889	3.240120738
890	3.238403583
891	3.237437561
892	3.23517064
893	3.234413001
894	3.233370493
895	3.232798599
896	3.231163897
897	3.22975344
898	3.229665866
899	3.228892851
900	3.226697729
901	3.224116542
902	3.222842613
903	3.222187418
904	3.221068396
905	3.220738876
906	3.219163865
907	3.217788949
908	3.217703638
909	3.216957349
910	3.215863077
911	3.213713371
912	3.213560561
913	3.210867691
914	3.208464961
915	3.207957259
916	3.207488347
917	3.206525831
918	3.203741408
919	3.203412677
920	3.201547883
921	3.199154375
922	3.197232494
923	3.193934883
924	3.192624393
925	3.19033355
926	3.188728274
927	3.187073277
928	3.186981216
929	3.184752263
930	3.183401746
931	3.181809911
932	3.178846437
933	3.178021032
934	3.175491401
935	3.174854884
936	3.172989378
937	3.172503379
938	3.171039958
939	3.170400095
940	3.169591151
941	3.169520865
942	3.168480754
943	3.165845495
944	3.164061975
945	3.162641957
946	3.159724884
947	3.157606593
948	3.155512489
949	3.152637506
950	3.151013315
951	3.149307567
952	3.147414562
953	3.146927051
954	3.145449807
955	3.143216089
956	3.141652942
957	3.140777548
958	3.140634534
959	3.140242827
960	3.139617981
961	3.138213351
962	3.138152608
963	3.13648801
964	3.134550613
965	3.133132266
966	3.130786358
967	3.128853571
968	3.127583505
969	3.127085341
970	3.125686219
971	3.124603758
972	3.123246051
973	3.122296561
974	3.120216528
975	3.118789015
976	3.11785527
977	3.117781069
978	3.116766745
979	3.115774253
980	3.114965343
981	3.113860634
982	3.112660149
983	3.110074312
984	3.108529451
985	3.107575987
986	3.106537517
987	3.104330306
988	3.10274283
989	3.101498601
990	3.101265327
991	3.100378726
992	3.098348564
993	3.09685575
994	3.095151849
995	3.092639962
996	3.090240618
997	3.089170387
998	3.086884088
999	3.084509705
